time,open,high,low,close,volume
1744848000,83990.0,94420.0,83701.0,93639.0,1463317.0
1745452800,93632.5,95730.5,91630.5,94125.5,1434022.0
1746057600,94125.0,97848.5,93329.5,96988.5,1180930.0
1746662400,96988.5,105774.0,96830.0,103458.0,1399977.0
1747267200,103458.0,110776.5,101360.0,109596.5,1287311.0
1747872000,109610.0,111930.5,106516.5,107723.5,1072584.0
1748476800,107751.0,108860.0,103035.5,104629.5,1032687.0
1749081600,104642.0,110585.0,100340.0,108600.5,1156518.0
1749686400,108600.5,108886.0,102635.0,104833.0,1319201.0
1750291200,104833.0,108071.0,98125.5,107280.0,1410457.0
1750896000,107280.5,109685.0,105052.0,108799.5,1102453.0
1751500800,108795.5,112010.0,107219.5,111200.0,1028839.0
1752105600,111200.0,123053.5,110445.0,118613.0,1050521.0
1752710400,118590.5,120943.5,116041.5,118713.5,1004687.0
1753315200,118684.0,119812.0,114683.5,117771.5,1000529.0
1753920000,117777.5,118890.5,111887.5,114941.0,979632.0
1754524800,114931.5,123680.5,114211.5,123324.0,1040391.0
1755129600,123347.5,124530.5,112306.0,114220.5,960434.0
1755734400,114177.0,117390.0,108661.5,111195.0,1045295.0
1756339200,111176.0,113429.0,107211.5,111660.0,1085886.0
1756944000,111653.5,114279.5,109297.0,113897.0,930362.0
1757548800,113896.5,117233.5,113371.5,116396.0,950459.0
1758153600,116423.5,117858.0,111020.0,113254.0,885517.0
1758758400,113270.5,118601.0,108577.5,118554.0,953202.0
1759363200,118587.0,126174.0,118230.5,123237.0,915793.0
1759968000,123254.0,123701.0,102104.0,110699.0,1003259.0
1760572800,110708.0,113933.0,103507.5,107532.5,1239001.0
1761177600,107527.0,116366.5,107472.0,109996.5,973227.0
1761782400,109992.0,111555.0,98907.5,103849.5,1035378.0
1762387200,103808.0,107467.0,99240.0,101605.5,1115964.0
1762992000,101590.5,103974.5,88584.5,91509.0,1342425.0
1763596800,91508.5,93129.0,80600.5,90442.0,1438443.0
1764201600,90431.5,94026.5,83791.5,93377.0,1299665.0
1764806400,93366.0,94545.5,87696.5,91978.0,1287993.0
1765411200,91960.0,93520.0,85119.5,86202.0,1284695.0
1766016000,86201.0,90550.0,84420.5,87627.5,1166190.0
1766620800,87627.0,90362.0,86645.5,87608.0,1163534.0
1767225600,87608.0,94748.0,87525.0,91328.5,1162468.0
1767830400,91344.5,97860.5,89279.5,96908.0,1178142.0
1768435200,96898.0,97154.5,87224.0,89416.0,1023715.0
1769040000,89411.5,91185.0,86039.5,89265.5,1094525.0
1769644800,89266.0,89308.0,71844.5,73152.0,1556529.0
1770249600,73153.0,73316.0,59905.0,67025.5,1864409.0
1770854400,67055.5,70937.0,65108.5,66443.5,1649736.0
1771459200,66432.5,69897.0,62602.0,67952.5,1610692.0
1772064000,67908.5,74000.5,62999.0,72737.5,1890672.0
1772668800,72641.5,73513.0,65591.5,70141.5,1320073.0
1773273600,70149.5,75965.0,69170.5,71210.0,1285708.0
1773878400,71198.0,71990.0,67330.5,71298.0,1389606.0
1774483200,71304.5,71389.5,64944.5,68080.5,2212664.0
1775088000,68078.0,72804.0,65699.5,71073.5,1928899.0
1775692800,71038.5,73392.0,70436.0,72725.0,668737.0
