time,open,high,low,close,volume
1744360200,81293.0,81764.5,81205.5,81587.0,8716.0
1744362000,81571.5,82107.0,81404.5,82015.0,6762.0
1744363800,82025.5,82390.5,82025.5,82340.5,19067.0
1744365600,82375.0,82784.5,82259.0,82694.0,7145.0
1744367400,82697.0,82931.5,82500.5,82595.5,5839.0
1744369200,82637.0,82859.5,82261.0,82324.0,3954.0
1744371000,82322.0,82409.5,81985.5,82095.0,28489.0
1744372800,82111.5,82244.0,81788.0,82216.5,12975.0
1744374600,82397.5,82451.0,81956.5,82071.0,6122.0
1744376400,82085.5,82162.0,81786.0,82120.0,6465.0
1744378200,82180.5,83251.5,81974.0,82892.0,9752.0
1744380000,82780.0,82780.0,81316.5,81435.5,7408.0
1744381800,81384.0,82274.5,81384.0,81859.0,2643.0
1744383600,81856.0,82181.5,81673.5,82144.0,5020.0
1744385400,82116.5,82627.0,82103.0,82482.5,2817.0
1744387200,82499.0,82597.0,81972.0,82207.5,1521.0
1744389000,82244.5,82976.5,82244.5,82749.0,7304.0
1744390800,82767.0,83050.0,82671.0,82905.5,2730.0
1744392600,82937.0,84000.0,82937.0,83887.0,12365.0
1744394400,83898.0,84171.0,83604.5,83983.0,3909.0
1744396200,83982.5,83982.5,83470.5,83552.0,1940.0
1744398000,83562.0,83922.0,83529.5,83721.0,12829.0
1744399800,83688.0,83896.5,83600.5,83780.0,5213.0
1744401600,83820.5,83940.5,83661.5,83920.0,1798.0
1744403400,83904.5,83982.0,83774.5,83800.5,14256.0
1744405200,83796.0,84254.5,83782.5,83870.5,3438.0
1744407000,83860.0,83860.0,83607.5,83645.0,2689.0
1744408800,83658.5,83677.5,83410.5,83442.5,7885.0
1744410600,83443.0,83484.0,83286.0,83389.0,729.0
1744412400,83381.0,83381.0,83132.5,83180.5,793.0
1744414200,83158.0,83524.0,83158.0,83385.5,1523.0
1744416000,83412.0,83464.5,83192.0,83316.5,1325.0
1744417800,83316.5,83537.5,83278.0,83327.5,877.0
1744419600,83332.5,83410.0,83128.5,83140.5,4944.0
1744421400,83131.0,83303.5,83128.0,83191.0,872.0
1744423200,83181.5,83260.5,83122.0,83195.5,1072.0
1744425000,83190.5,83265.0,82778.0,82778.0,5740.0
1744426800,82766.5,83013.5,82766.5,83013.0,1032.0
1744428600,83026.5,83100.0,82907.5,82940.0,800.0
1744430400,82942.0,83206.0,82824.5,83152.5,1995.0
1744432200,83187.0,83341.5,82905.0,83166.0,5836.0
1744434000,83160.5,83455.5,83158.0,83334.5,3087.0
1744435800,83334.5,83466.0,83250.5,83299.5,1869.0
1744437600,83313.0,83687.5,83313.0,83577.0,4702.0
1744439400,83577.0,83750.5,83500.0,83534.5,1061.0
1744441200,83528.5,83712.5,83459.0,83572.5,2198.0
1744443000,83584.0,83784.0,83537.5,83685.5,2623.0
1744444800,83694.0,83978.0,83490.5,83558.0,7628.0
1744446600,83543.5,83672.5,83450.5,83569.0,1336.0
1744448400,83568.5,83735.5,83391.5,83424.0,1144.0
1744450200,83428.5,83616.0,83409.0,83507.0,1050.0
1744452000,83490.5,83533.5,83346.5,83441.5,1487.0
1744453800,83457.0,83465.0,83264.0,83380.5,6219.0
1744455600,83398.0,83611.0,83398.0,83577.0,6655.0
1744457400,83530.5,83536.0,83393.0,83483.5,7749.0
1744459200,83500.0,83762.0,83432.5,83717.0,7204.0
1744461000,83726.0,83881.0,83614.5,83798.5,3219.0
1744462800,83806.0,84023.0,83529.5,83813.5,7471.0
1744464600,83779.5,84658.5,83659.5,84438.0,17045.0
1744466400,84426.5,84982.0,84270.0,84840.5,9321.0
1744468200,84889.0,85201.0,84663.5,84790.0,21421.0
1744470000,84808.0,85147.5,84618.5,85117.0,13275.0
1744471800,85119.5,85377.0,84944.0,84975.5,5328.0
1744473600,84965.0,85170.0,84792.0,84960.0,3539.0
1744475400,84985.5,84985.5,84568.0,84624.0,3032.0
1744477200,84629.0,84763.5,84392.5,84571.0,8447.0
1744479000,84579.0,84815.5,84579.0,84731.0,7697.0
1744480800,84734.0,84946.5,84722.0,84940.5,996.0
1744482600,84929.0,85155.0,84865.0,85127.5,2165.0
1744484400,85139.0,85200.5,84953.0,85009.5,21939.0
1744486200,85000.0,85074.5,84797.5,84892.0,2994.0
1744488000,84921.5,85228.0,84831.0,85224.5,2728.0
1744489800,85229.5,85850.5,85229.5,85479.0,6728.0
1744491600,85471.0,85537.5,85250.0,85358.5,8795.0
1744493400,85358.5,85502.5,85211.0,85317.0,10630.0
1744495200,85375.0,85657.0,85332.0,85434.0,1364.0
1744497000,85450.0,85537.5,85280.5,85294.0,1040.0
1744498800,85306.5,85379.5,85152.5,85174.0,994.0
1744500600,85182.0,85393.0,85130.5,85242.0,1838.0
1744502400,85238.0,85476.0,85120.0,85142.0,1749.0
1744504200,85148.5,85535.0,84986.0,85444.5,4074.0
1744506000,85470.5,85801.0,85410.5,85801.0,11377.0
1744507800,85805.5,86044.5,85104.5,85220.5,18053.0
1744509600,85190.5,85346.5,84694.5,84817.5,11788.0
1744511400,84764.0,85380.0,84764.0,85250.5,14032.0
1744513200,85250.0,85460.5,85195.5,85283.0,4687.0
1744515000,85295.0,85692.5,85291.0,85394.0,2958.0
1744516800,85389.0,85400.0,84787.0,84986.5,3991.0
1744518600,84991.0,85000.0,84458.5,84595.0,13580.0
1744520400,84588.0,84740.5,84431.5,84613.0,8962.0
1744522200,84620.5,84758.5,84363.0,84487.5,7306.0
1744524000,84487.5,84700.5,84420.0,84661.0,2090.0
1744525800,84666.0,84791.0,84562.5,84570.5,2559.0
1744527600,84566.5,84741.0,84566.5,84647.5,655.0
1744529400,84678.0,84678.0,84378.5,84378.5,2577.0
1744531200,84378.5,84505.0,84251.0,84505.0,1695.0
1744533000,84500.0,84665.5,84452.0,84633.5,3418.0
1744534800,84640.0,84737.0,84472.5,84708.5,988.0
1744536600,84730.0,84916.0,84649.5,84880.5,3621.0
1744538400,84891.0,84918.0,84524.0,84530.5,2240.0
1744540200,84524.0,84726.0,84469.5,84652.0,1085.0
1744542000,84652.0,84729.5,84282.5,84455.0,3277.0
1744543800,84422.0,84491.0,84184.5,84491.0,16304.0
1744545600,84485.5,84640.5,84221.0,84239.0,2479.0
1744547400,84228.5,84461.5,84205.5,84409.0,2724.0
1744549200,84420.0,84568.0,84040.5,84045.5,3108.0
1744551000,84060.0,84153.0,83480.5,83576.5,10547.0
1744552800,83571.5,83879.5,83463.0,83842.0,1747.0
