time,open,high,low,close,volume
1744359300,81408.5,81455.0,81186.0,81300.5,11091.0
1744360200,81293.0,81764.5,81205.5,81590.0,7897.0
1744361100,81606.5,81689.5,81441.0,81587.0,819.0
1744362000,81571.5,81616.0,81404.5,81460.0,1153.0
1744362900,81480.0,82107.0,81480.0,82015.0,5609.0
1744363800,82025.5,82299.0,82025.5,82173.0,4205.0
1744364700,82166.0,82390.5,82129.5,82340.5,14862.0
1744365600,82375.0,82484.5,82259.0,82336.0,2577.0
1744366500,82330.5,82784.5,82327.5,82694.0,4568.0
1744367400,82697.0,82931.5,82584.0,82600.0,4892.0
1744368300,82610.5,82693.5,82500.5,82595.5,947.0
1744369200,82637.0,82859.5,82516.0,82587.0,1658.0
1744370100,82588.5,82591.5,82261.0,82324.0,2296.0
1744371000,82322.0,82409.5,82100.0,82173.5,15342.0
1744371900,82173.5,82285.0,81985.5,82095.0,13147.0
1744372800,82111.5,82244.0,81788.0,81971.5,6289.0
1744373700,82000.5,82216.5,81944.0,82216.5,6686.0
1744374600,82397.5,82451.0,82161.0,82257.0,4692.0
1744375500,82242.5,82242.5,81956.5,82071.0,1430.0
1744376400,82085.5,82162.0,81819.0,81905.0,5122.0
1744377300,81900.0,82128.0,81786.0,82120.0,1343.0
1744378200,82180.5,83251.5,81974.0,82896.0,7496.0
1744379100,82897.0,83136.0,82732.0,82892.0,2256.0
1744380000,82780.0,82780.0,82289.5,82478.0,2844.0
1744380900,82533.0,82603.5,81316.5,81435.5,4564.0
1744381800,81384.0,81993.5,81384.0,81993.5,1298.0
1744382700,81977.0,82274.5,81857.0,81859.0,1345.0
1744383600,81856.0,82181.5,81673.5,81822.5,2780.0
1744384500,81839.5,82180.0,81782.0,82144.0,2240.0
1744385400,82116.5,82627.0,82103.0,82477.0,1845.0
1744386300,82469.0,82574.0,82384.5,82482.5,972.0
1744387200,82499.0,82597.0,82233.5,82246.0,851.0
1744388100,82254.5,82332.5,81972.0,82207.5,670.0
1744389000,82244.5,82904.5,82244.5,82904.5,5563.0
1744389900,82918.5,82976.5,82721.0,82749.0,1741.0
1744390800,82767.0,82957.5,82671.0,82912.5,1265.0
1744391700,82900.5,83050.0,82725.5,82905.5,1465.0
1744392600,82937.0,83982.0,82937.0,83912.5,9789.0
1744393500,83940.0,84000.0,83630.0,83887.0,2576.0
1744394400,83898.0,84171.0,83779.5,83927.5,2686.0
1744395300,83978.0,83996.5,83604.5,83983.0,1223.0
1744396200,83982.5,83982.5,83749.5,83819.0,1066.0
1744397100,83836.0,83891.0,83470.5,83552.0,874.0
1744398000,83562.0,83868.5,83529.5,83845.5,1029.0
1744398900,83845.0,83922.0,83688.5,83721.0,11800.0
1744399800,83688.0,83823.5,83600.5,83809.5,4005.0
1744400700,83823.5,83896.5,83714.0,83780.0,1208.0
1744401600,83820.5,83850.0,83661.5,83717.5,771.0
1744402500,83717.5,83940.5,83669.5,83920.0,1027.0
1744403400,83904.5,83982.0,83791.5,83937.5,1210.0
1744404300,83924.0,83955.5,83774.5,83800.5,13046.0
1744405200,83796.0,83992.0,83782.5,83890.5,399.0
1744406100,83894.0,84254.5,83870.5,83870.5,3039.0
1744407000,83860.0,83860.0,83613.0,83655.0,2192.0
1744407900,83693.5,83761.0,83607.5,83645.0,497.0
1744408800,83658.5,83677.5,83511.5,83537.0,1216.0
1744409700,83533.5,83539.0,83410.5,83442.5,6669.0
1744410600,83443.0,83443.0,83286.0,83342.5,483.0
1744411500,83343.0,83484.0,83343.0,83389.0,246.0
1744412400,83381.0,83381.0,83234.5,83234.5,284.0
1744413300,83234.5,83289.5,83132.5,83180.5,509.0
1744414200,83158.0,83430.0,83158.0,83401.5,1026.0
1744415100,83431.0,83524.0,83369.0,83385.5,497.0
1744416000,83412.0,83464.5,83235.0,83235.0,701.0
1744416900,83295.0,83369.0,83192.0,83316.5,624.0
1744417800,83316.5,83496.5,83278.0,83446.0,561.0
