time,open,high,low,close,volume
1744362000,81571.5,82390.5,81404.5,82340.5,25829.0
1744365600,82375.0,82931.5,82259.0,82595.5,12984.0
1744369200,82637.0,82859.5,81985.5,82095.0,32443.0
1744372800,82111.5,82451.0,81788.0,82071.0,19097.0
1744376400,82085.5,83251.5,81786.0,82892.0,16217.0
1744380000,82780.0,82780.0,81316.5,81859.0,10051.0
1744383600,81856.0,82627.0,81673.5,82482.5,7837.0
1744387200,82499.0,82976.5,81972.0,82749.0,8825.0
1744390800,82767.0,84000.0,82671.0,83887.0,15095.0
1744394400,83898.0,84171.0,83470.5,83552.0,5849.0
1744398000,83562.0,83922.0,83529.5,83780.0,18042.0
1744401600,83820.5,83982.0,83661.5,83800.5,16054.0
1744405200,83796.0,84254.5,83607.5,83645.0,6127.0
1744408800,83658.5,83677.5,83286.0,83389.0,8614.0
1744412400,83381.0,83524.0,83132.5,83385.5,2316.0
1744416000,83412.0,83537.5,83192.0,83327.5,2202.0
1744419600,83332.5,83410.0,83128.0,83191.0,5816.0
1744423200,83181.5,83265.0,82778.0,82778.0,6812.0
1744426800,82766.5,83100.0,82766.5,82940.0,1832.0
1744430400,82942.0,83341.5,82824.5,83166.0,7831.0
1744434000,83160.5,83466.0,83158.0,83299.5,4956.0
1744437600,83313.0,83750.5,83313.0,83534.5,5763.0
1744441200,83528.5,83784.0,83459.0,83685.5,4821.0
1744444800,83694.0,83978.0,83450.5,83569.0,8964.0
1744448400,83568.5,83735.5,83391.5,83507.0,2194.0
1744452000,83490.5,83533.5,83264.0,83380.5,7706.0
1744455600,83398.0,83611.0,83393.0,83483.5,14404.0
1744459200,83500.0,83881.0,83432.5,83798.5,10423.0
1744462800,83806.0,84658.5,83529.5,84438.0,24516.0
1744466400,84426.5,85201.0,84270.0,84790.0,30742.0
1744470000,84808.0,85377.0,84618.5,84975.5,18603.0
1744473600,84965.0,85170.0,84568.0,84624.0,6571.0
1744477200,84629.0,84815.5,84392.5,84731.0,16144.0
1744480800,84734.0,85155.0,84722.0,85127.5,3161.0
1744484400,85139.0,85200.5,84797.5,84892.0,24933.0
1744488000,84921.5,85850.5,84831.0,85479.0,9456.0
1744491600,85471.0,85537.5,85211.0,85317.0,19425.0
1744495200,85375.0,85657.0,85280.5,85294.0,2404.0
1744498800,85306.5,85393.0,85130.5,85242.0,2832.0
1744502400,85238.0,85535.0,84986.0,85444.5,5823.0
1744506000,85470.5,86044.5,85104.5,85220.5,29430.0
1744509600,85190.5,85380.0,84694.5,85250.5,25820.0
1744513200,85250.0,85692.5,85195.5,85394.0,7645.0
1744516800,85389.0,85400.0,84458.5,84595.0,17571.0
1744520400,84588.0,84758.5,84363.0,84487.5,16268.0
1744524000,84487.5,84791.0,84420.0,84570.5,4649.0
1744527600,84566.5,84741.0,84378.5,84378.5,3232.0
1744531200,84378.5,84665.5,84251.0,84633.5,5113.0
1744534800,84640.0,84916.0,84472.5,84880.5,4609.0
1744538400,84891.0,84918.0,84469.5,84652.0,3325.0
1744542000,84652.0,84729.5,84184.5,84491.0,19581.0
1744545600,84485.5,84640.5,84205.5,84409.0,5203.0
1744549200,84420.0,84568.0,83480.5,83576.5,13655.0
1744552800,83571.5,84100.5,83463.0,84048.5,5352.0
1744556400,84033.5,84033.5,83640.0,83820.5,4441.0
1744560000,83820.0,84380.5,83813.5,84184.0,6300.0
1744563600,84184.0,84973.0,84154.0,84725.5,7391.0
1744567200,84711.0,84911.0,84488.0,84689.5,8743.0
1744570800,84684.5,84684.5,83008.5,83928.5,18505.0
1744574400,83949.5,84385.5,83139.0,83473.0,7267.0
